id_jednostki,sektor,klasa,pkd,woj,waga,source,jedna_zmiana
a9cc990df6a99ab215a1bc13f51d4825c7d52d18,1,D,O,14,1,popyt,
c9dbaf50890165ebe810aa770de0e9df903dc35b,1,D,O,24,6,popyt,
718e0bba42bcec6ed98f9690db6d26cb7b93c880,1,D,R.S,14,1,popyt,
532a1879a692b9d7bbb7282ba757d028156ef341,1,D,R.S,14,1,popyt,
0b6b623fa45e257284a3049d097af322841337e3,1,D,R.S,22,1,popyt,
c855a825e80866c00c7513721d5fcb38929f3cd6,1,S,R.S,26,1,popyt,
98861ee6b125b54b82dd6b27a86b85c13446b2ea,1,D,R.S,12,1,popyt,
c8031e4e01ecee538c8c0685a0c90c759d7de62a,1,S,R.S,18,1,popyt,
305431233b9bf5157154e6d6c9273e508897964a,1,D,R.S,14,1,popyt,
f2ac960927b5254a7ce3429a8e37419612ba9fac,1,D,R.S,02,1,popyt,
d295e79ff582821bd6ba881d8a1c1d8cf3c3b1e1,1,D,R.S,14,1,popyt,
194a8613393e6db03323f2cca57486bc43d47e69,1,D,P,12,1,popyt,
1bcf788330a0829c33214dcfa459bee286368010,1,D,P,10,1,popyt,
a33fa075272278e58dbddf7e05a32c496383eebf,1,D,P,02,1,popyt,
13420a87af980b72b11d8ca5d7280ec002944db0,1,D,P,04,1,popyt,
145585674c5afe4f36eb0267f1976d05a1aa3cf3,1,D,P,04,1,popyt,
44e1bf649ccc62322ae99033109a533dec9cb141,1,D,P,24,1,popyt,
d9371744a05b90857c741b6d5301135afc36f38f,1,D,P,14,1,popyt,
1854b0829848a77a11bb82b8259f2c03f92100c9,1,D,P,10,1,popyt,
7fddce081cbb1dd5da072e1683e9bfd20acab593,1,D,P,30,1,popyt,
7be60f7cb4e673bdfd08cd2e0f36a39d5184221c,1,D,P,12,1,popyt,
c365458756707fcaa4b845659738ee39887d394b,1,D,P,14,1,popyt,
41de5ca1bc184e4b814a37587938d69203850744,1,D,O,14,1,popyt,
4ec4f6c04823143c4849eeecee13f60ac8faff88,1,D,K.L,14,1,popyt,
3d40ca689a4dca7d774981dc7db408301bf7f192,1,D,O,14,1,popyt,
c730010abdb9d20ccab34eacbe3c22a56fedad66,1,D,O,06,1,popyt,
2b5a57b0c2f03c2b252e559bcd77d52789d33d9c,1,D,O,04,1,popyt,
f2b18f5ef4386e70206d64810b5d3b7e0654918b,1,D,O,24,1,popyt,
e483df774bfef34fe1ceaec548831a79ced37d81,1,D,O,08,1,popyt,
ac1dd3ffadf76a8bd8609e87988aa5a0c81b9d66,1,D,O,30,1,popyt,
de1a82a5c81418104dcdc7948ea75e0cd37c3580,1,D,O,24,1,popyt,
e2c108dbf57e366f38541d715642c36d4492226d,1,D,O,02,1,popyt,
46c9121cb20e0aacecd0f797ff5ca08525626234,1,D,O,30,1,popyt,
80fda0567bc18e3c568d31c40c0ce10ad768e52f,1,D,O,32,1,popyt,
18029725c33f186706aa2443b8e64409a8224598,1,D,O,22,1,popyt,
77157b7c3bbd6f8e01afe8113d1c3852f4fae834,1,D,O,12,1,popyt,
24b4ff51fc6e3a0a2c3f90499c8369ecc4583cdf,1,D,O,14,1,popyt,
0ed45652ff9b26d751a8aaa302be4a89c68a2f3b,1,D,O,28,1,popyt,
d644e38948c6e19aeca24308b5240097e84055a6,1,D,O,14,1,popyt,
e5e0fd8be1d1b9dae551b9ae8444b1c82f78d0e5,1,D,O,12,1,popyt,
eb848cfa2a95bc9b742614e36e2f342b3bc0c1a9,1,D,O,10,1,popyt,
1b6a45782a23d5bd946f6d7d7a76f0712d17ef5b,1,D,O,32,1,popyt,
d086a8bf59e30a96bc813ecd30a3f69ab804cb4b,1,D,O,06,1,popyt,
e9ca428c56969088032c8825ac4b784610215f4c,1,D,O,26,1,popyt,
b4f766928a4bd2d6fbca5f84716c624260180819,1,D,O,30,1,popyt,
bf17263f8fa3a9ff12d7ff60c10c4e426aeeb36e,1,D,O,04,1,popyt,
e989fbed4c98dad03d29cd4b697d872cb2ea2f66,1,D,O,22,1,popyt,
93dd94ca4c959281f009caeefa4d35acbf1109a4,1,D,O,30,1,popyt,
050bd466c627e7437690aea043115a3089ff3f7d,1,D,O,14,1,popyt,
1dcd42c4219dc4bd9b88a49e0330f15f335e1467,2,D,C,18,2,popyt,
09c38dc34b4e35bfa2bb3118924caa92a76ac38d,1,D,M,24,2,popyt,
998a689fc768b79558d1167b412fd265f5a0e31b,1,D,D.E,24,1,popyt,
544588f1fb2997bf568fad5fb6f0362eae9e6ede,1,S,I,24,1,popyt,
906983754cea2b7b5b040f9f7772f04c581f7973,1,D,M,24,1,popyt,
969fecea2c989d9204c7bf811ae2a4d117982356,2,D,C,12,1,popyt,
1099e2e9638dff4ba6917046eaa09866d2ac2fa9,2,D,C,24,1,popyt,
0444ec2cab0756369ffc1ecf24dde723f2217261,1,D,C,22,1,popyt,
8808455f9c878698d03bae873de0b4fb796367b6,1,D,M,14,1,popyt,
bcde21c273d61c79e41e7a53e2f2a79dbb610622,2,D,C,10,18,popyt,
faa21657cae267962aeda93abdae7178104f183d,1,D,M,14,1,popyt,
e8afe2b262a867dcac348d03d2f31681e1722c28,1,D,M,14,1,popyt,
db23ef2b1f97e86729dea60760c9b0b0573bb29b,1,D,M,14,1,popyt,
3e61c4d75cc9e8d095011ae0180dab56ed29090c,1,D,P,18,1,popyt,
0fab02fdf576c4e3ff5f0795bb174adafc4bbad9,2,D,C,18,1,popyt,
512f6de596106b80fe507f13b17d45c96e92bb50,1,D,H,14,2,popyt,
b291ebbe0687dd2b1c00999ee55f87cb350fa00c,1,D,M,10,1,popyt,
77544b453dbffbe1d2ec21880af47f1bb70f526e,2,D,C,22,1,popyt,
4ab44c8420aa8e492ab4b6a3a46de36cfdf16e01,1,S,O,12,5,popyt,
f7dcd155239cb6f42e82f585813e6b6d26ef05dc,1,S,O,16,4,popyt,
6d359c591783e8bd065ab63384438d343b2592de,1,D,M,14,1,popyt,
71c6a72a7ef1d1b30a32f081b3d8a82281201c60,2,D,F,20,1,popyt,
3871f4d4cf855b2412dce64f44d4524bcc40bbd3,2,S,N,20,1,popyt,
375e89f53d08f56549a50fc54ee9660c4b8fc316,1,D,O,14,1,popyt,
3b6d4fe5b6e733f40c54a4dd0ddc86e6a95f20c2,2,D,C,22,2,popyt,
a016e6da67aa0349a5ea9812c0870f59eb4dde4d,1,D,O,10,1,popyt,
7e0703117f86cd62cb80ec78229498e8c08fe2f8,1,D,O,10,6,popyt,
a49993b9cb383b3228acecf795b424786f7e933b,1,D,M,28,1,popyt,
85ec520c86f53efce17f8a368b77375ba87b7a07,1,D,O,02,1,popyt,
28250b82cc6a86077e1fe569a8f9e7e832a35854,1,D,O,30,1,popyt,
a943755c0df286d831c5319a64ef5ba3c59d3617,1,D,O,26,1,popyt,
9a3628a716b893e0395e5efcfa5bf6395219c430,1,D,O,08,1,popyt,
8773691bd52af4c48df108abef9871eaae942602,1,D,O,32,1,popyt,
ea4f70380ee2b8b6461bcb8c8df20b17d3bd50a2,1,D,O,20,1,popyt,
